Country,Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;NewRecovered;ActiveCases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;TotalTests;"Tests/
1M pop
";Population;Continent;1 Caseevery X ppl;1 Deathevery X ppl;1 Testevery X ppl;New Cases/1M pop;New Deaths/1M pop;Active Cases/1M pop;Column1
USA;109233586;;1181548;;107,158,346;;893,692;1,282;326260;3529;1186431670;3543647;334805269;North America;3;283;0;;;2669;
India;45001268;;533293;;N/A;N/A;N/A;N/A;31992;379;930797975;661721;1406631776;Asia;31;2638;2;;;0.2;
France;40138560;;167642;;39,970,918;;0;869;612013;2556;271490188;4139547;65584518;Europe;2;391;0;;;;
Germany;38553102;;176793;;38,240,600;;135,709;N/A;459602;2108;122332384;1458359;83883596;Europe;2;474;1;;;1618;
Brazil;37949944;;706808;;36,249,161;;993,975;N/A;176222;3282;63776166;296146;215353593;South America;6;305;3;;;4616;
S. Korea;34571873;;35934;;34,535,939;;0;231;673523;700;15804065;307892;51329899;Asia;1;1428;3;;;;
Japan;33803572;;74694;;N/A;N/A;N/A;83;269169;595;100414883;799578;125584838;Asia;4;1681;1;;;95582;
Italy;26230177;;192406;;25,874,442;;163,329;118;435263;3193;275228417;4567139;60262770;Europe;2;313;0;;;2710;
UK;24796408;;230974;;24,547,910;+2,078;17,524;N/A;362002;3372;522526476;7628357;68497907;Europe;3;297;0;;;256;
Russia;23158908;34191;400319;63;22,573,786;+22,993;184,803;N/A;158834;2746;273400000;1875095;145805947;Europe;6;364;1;234;0.4;1267;
Turkey;17232066;;102174;;N/A;N/A;N/A;;201399;1194;162743369;1902052;85561976;Asia;5;837;1;;;4024;
Spain;13914811;;121760;;13,762,417;;30,634;231;297840;2606;471036328;10082298;46719142;Europe;3;384;0;;;656;
Australia;11793995;;22885;;11,765,075;;6,035;21;452418;878;81916639;3142326;26068792;Australia/Oceania;2;1139;0;;;232;
Vietnam;11624114;;43206;;10,640,971;;939,937;;117470;437;85826548;867342;98953541;Asia;9;2290;1;;;9499;
Taiwan;10241523;;19005;;10,222,518;;0;;428720;796;30742304;1286903;23888595;Asia;2;1257;1;;;;
Argentina;10080046;;130685;;9,948,468;;893;363;219083;2840;35716069;776264;46010234;South America;5;352;1;;;19;
Netherlands;8619835;;22992;;8,596,260;;583;53;500820;1336;25984435;1509718;17211447;Europe;2;749;1;;;34;
Mexico;7649199;;334472;;6,899,865;;414,862;N/A;58141;2542;20013810;152124;131562772;North America;17;393;7;;;3153;
Iran;7622127;;146580;;7,377,233;;98,314;18;88606;1704;57320267;666338;86022837;Asia;11;587;2;;;1143;
Indonesia;6813790;;161920;;6,646,967;;4,903;N/A;24410;580;114158919;408975;279134505;Asia;41;1724;2;;;18;
Poland;6538833;1642;119698;4;N/A;N/A;N/A;53;173261;3172;38899894;1030740;37739785;Europe;6;315;1;44;0.1;28702;
Colombia;6384009;;143067;;6,203,441;;37,501;342;123931;2777;36951507;717327;51512762;South America;8;360;1;;;728;
Greece;6101379;;37089;;6,064,290;;0;115;591412;3595;102228365;9909078;10316637;Europe;2;278;0;;;;
Austria;6081287;;22542;;6,054,934;;3,811;14;670727;2486;211273524;23302116;9066710;Europe;1;402;0;;;420;
Portugal;5631281;;27686;;5,601,201;+435;2,394;61;555322;2730;46139518;4549993;10140570;Europe;2;366;0;;;236;
Ukraine;5557995;;112418;;5,445,577;;0;;128681;2603;32603805;754855;43192122;Europe;8;384;1;;;;
Chile;5305892;;64497;;5,240,905;;490;27;275628;3350;50243587;2610030;19250195;South America;4;298;0;;;25;
Malaysia;5129800;;37181;;5,080,973;;11,646;4;154600;1121;68580916;2066869;33181072;Asia;6;892;0;;;351;
Israel;4840714;;12697;;4,798,473;;29,544;21;519056;1361;41373364;4436346;9326000;Asia;2;735;0;;;3168;
Belgium;4825553;;34376;;4,785,170;;6,007;43;413562;2946;37018657;3172590;11668278;Europe;2;339;0;;;515;
Canada;4777664;;54734;;4,692,208;+1,334;30,722;99;124456;1426;66487884;1731978;38388419;North America;8;701;1;;;800;
DPRK;4772813;;74;;4,772,739;;0;;183636;3;;;25990679;Asia;5;351225;;;;;
Thailand;4758125;;34488;;4,692,636;;31,001;N/A;67897;492;17270775;246450;70078203;Asia;15;2032;4;;;442;
Czechia;4672353;1574;42951;;4,621,972;+636;7,430;29;435172;4000;57390249;5345199;10736784;Europe;2;250;0;147;;692;
Peru;4519976;;222161;;4,297,815;;0;4;134187;6595;39010194;1158115;33684208;South America;7;152;1;;;;
Switzerland;4420514;;14452;;4,399,989;;6,073;39;503841;1647;23833472;2716487;8773637;Europe;2;607;0;;;692;
Philippines;4120976;104;66746;10;4,051,483;+132;2,747;162;36628;593;35945965;319494;112508994;Asia;27;1686;3;0.9;0.09;24;
South Africa;4076463;;102595;;3,912,506;;61,362;192;67095;1689;26795090;441027;60756135;Africa;15;592;2;;;1010;
Romania;3499607;2381;68568;43;3,423,671;+6,404;7,368;56;183887;3603;28272682;1485586;19031335;Europe;5;278;1;125;2;387;
Denmark;3183756;;8814;;3,174,942;;0;4;545636;1511;129333107;22165247;5834950;Europe;2;662;0;;;;
Hong Kong;2923674;;14322;;2,906,399;;2,953;28;384476;1883;76127725;10011143;7604299;Asia;3;531;0;;;388;
Sweden;2723397;;25141;;2,693,948;+72;4,308;1;266504;2460;19500873;1908301;10218971;Europe;4;406;1;;;422;
Singapore;2651993;;1900;;2,149,583;;500,510;3;446197;320;24756666;4165302;5943546;Asia;2;3128;0;;;84211;
Serbia;2572340;;18057;;2,549,905;+3,968;4,378;;297277;2087;13167633;1521739;8653016;Europe;3;479;1;;;506;
New Zealand;2485937;;4958;;2,478,402;;2,577;;507520;1012;7768604;1586011;4898203;Australia/Oceania;2;988;1;;;526;
Iraq;2465545;;25375;;2,439,497;;673;21;58474;602;19544451;463523;42164965;Asia;17;1662;2;;;16;
Hungary;2207993;;48881;;2,152,155;;6,957;2;229849;5088;11394556;1186160;9606259;Europe;4;197;1;;;724;
Bangladesh;2045892;;29477;;1,998,448;;17,967;N/A;12186;176;15254399;90862;167885689;Asia;82;5695;11;;;107;
Slovakia;1868472;171;21167;;1,846,944;+178;361;11;342199;3877;7443703;1363267;5460193;Europe;3;258;1;31;;66;
Georgia;1855289;;17132;;1,776,548;;61,609;;467476;4317;16920079;4263340;3968738;Asia;2;232;0;;;15524;
Jordan;1746997;;14122;;1,731,007;;1,868;59;169597;1371;17201885;1669945;10300869;Asia;6;729;1;;;181;
Ireland;1723615;;9322;;1,712,516;;1,777;19;343336;1857;13083449;2606161;5020199;Europe;3;539;0;;;354;
Pakistan;1581926;;30664;;1,538,689;;12,573;;6893;134;30589153;133292;229488994;Asia;145;7484;8;;;55;
Finland;1490937;;10286;;1,477,364;+162;3,287;21;268397;1852;12108977;2179850;5554960;Europe;4;540;0;;;592;
Norway;1489459;;5732;;1,483,727;;0;20;270252;1040;11002430;1996315;5511370;Europe;4;962;1;;;;
Kazakhstan;1411831;;13848;;1,383,020;;14,963;24;73514;721;11575012;602707;19205043;Asia;14;1387;2;;;779;
Slovenia;1347233;;7100;;1,339,311;;822;8;648321;3417;2847701;1370382;2078034;Europe;2;293;1;;;396;
Lithuania;1342218;1190;9742;2;1,324,624;+1,063;7,852;3;504269;3660;10527538;3955181;2661708;Europe;2;273;0;447;0.8;2950;
Bulgaria;1323939;;38556;;1,280,072;;5,311;34;193428;5633;11430761;1670041;6844597;Europe;5;178;1;;;776;
Guatemala;1278762;;20264;;1,258,308;;190;5;68810;1090;7593848;408622;18584039;North America;15;917;2;;;10;
Morocco;1277342;;16297;;1,256,151;;4,894;3;33816;431;13001033;344191;37772756;Africa;30;2318;3;;;130;
Croatia;1276497;;18438;;1,257,638;;421;;314463;4542;5649761;1391812;4059286;Europe;3;220;1;;;104;
Lebanon;1243838;;10952;;1,087,587;;145,299;74;186068;1638;4795578;717380;6684849;Asia;5;610;1;;;21736;
Costa Rica;1238883;;9428;;860,711;;368,744;52;239058;1819;4659757;899158;5182354;North America;4;550;1;;;71154;
Bolivia;1209431;;22404;;1,177,145;;9,882;220;100848;1868;2710261;225993;11992656;South America;10;535;4;;;824;
Tunisia;1153361;;29423;;N/A;N/A;N/A;44;95741;2442;5013383;416164;12046656;Africa;10;409;2;;;1157;
Cuba;1115150;;8530;;1,106,553;;67;;98637;754;14392293;1273018;11305652;North America;10;1325;1;;;6;
Ecuador;1069139;;36043;;1,033,096;;0;759;59025;1990;3082403;170173;18113361;South America;17;503;6;;;;
UAE;1067030;;2349;;1,054,525;;10,156;;105837;233;200732262;19910389;10081785;Asia;9;4292;0;;;1007;
Panama;1049089;;8666;;1,040,268;;155;16;235911;1949;7811039;1756488;4446964;North America;4;513;1;;;35;
Uruguay;1038774;;7634;;1,030,944;;196;18;297131;2184;6114822;1749083;3496016;South America;3;458;1;;;56;
Mongolia;1011170;;2179;;1,008,991;;0;192;299333;645;4030048;1193000;3378078;Asia;3;1550;1;;;;
Nepal;1003450;;12031;;991,322;;97;;33199;398;6047766;200088;30225582;Asia;30;2512;5;;;3;
Belarus;994037;;7118;;985,592;;1,327;;105381;755;13646641;1446722;9432800;Europe;9;1325;1;;;141;
Latvia;979425;;6418;;971,406;;1,601;;529752;3471;7883831;4264211;1848837;Europe;2;288;0;;;866;
Saudi Arabia;841469;;9646;;827,923;;3,900;66;23475;269;45481735;1268848;35844909;Asia;43;3716;1;;;109;
Azerbaijan;834050;;10356;;823,588;;106;;80974;1005;7703250;747873;10300205;Asia;12;995;1;;;10;
Paraguay;815869;;20028;;N/A;N/A;N/A;7;111673;2741;2657506;363751;7305843;South America;9;365;3;;;13349;
Bahrain;729340;;1574;;727,708;;58;4;408827;882;10942707;6133863;1783983;Asia;2;1133;0;;;33;
Sri Lanka;672598;;16883;;655,715;;0;;31174;782;6486117;300619;21575842;Asia;32;1278;3;;;;
Dominican Republic;670627;;4384;;666,104;;139;4;60655;397;3740928;338350;11056370;North America;16;2522;3;;;13;
Kuwait;666432;;2570;;660,237;;3,625;;152142;587;8455743;1930391;4380326;Asia;7;1704;1;;;828;
Cyprus;660854;;1364;;659,490;;0;60;540184;1115;9640118;7879860;1223387;Asia;2;897;0;;;;
Myanmar;641358;;19495;;619,922;;1,941;;11613;353;11417628;206739;55227143;Asia;86;2833;5;;;35;
Moldova;625712;;12135;;504,142;;109,435;49;155915;3024;3216305;801437;4013171;Europe;6;331;1;;;27269;
Palestine;621008;;5404;;615,445;;159;17;116173;1011;3078533;575907;5345541;Asia;9;989;2;;;30;
Estonia;620716;;3001;;524,990;;92,725;;469560;2270;3748182;2835429;1321910;Europe;2;440;0;;;70145;
Venezuela;552695;;5856;;546,537;;302;31;18885;200;3359014;114771;29266991;South America;53;4998;9;;;10;
Egypt;516023;;24613;;442,182;;49,228;122;4861;232;3693367;34792;106156692;Africa;206;4313;29;;;464;
Qatar;514524;;690;;513,687;;147;16;172664;232;4065369;1364257;2979915;Asia;6;4319;1;;;49;
Libya;507274;;6437;;500,835;;2;;72048;914;2483848;352782;7040745;Africa;14;1094;3;;;0.3;
Ethiopia;501060;;7574;;488,171;;5,315;;4147;63;5565340;46066;120812698;Africa;241;15951;22;;;44;
Réunion;486588;;921;;418,572;;67,095;10;535854;1014;1603660;1766027;908061;Africa;2;986;1;;;73888;
Honduras;474587;;11165;;N/A;N/A;N/A;105;46431;1092;1660662;162472;10221247;North America;22;915;6;;;32371;
Armenia;450334;;8762;;435,162;;6,410;;151527;2948;3242901;1091164;2971966;Asia;7;339;1;;;2157;
Bosnia and Herzegovina;403266;;16362;;379,084;;7,820;;124108;5036;1884721;580036;3249317;Europe;8;199;2;;;2407;
Oman;399449;;4628;;384,669;;10,152;2;75028;869;25000000;4695724;5323993;Asia;13;1150;0;;;1907;
Zambia;349287;;4069;;341,316;;3,902;;17940;209;4112961;211244;19470234;Africa;56;4785;5;;;200;
North Macedonia;348411;;9941;;337,068;;1,402;;167400;4776;2226216;1069626;2081304;Europe;6;209;1;;;674;
Kenya;344070;;5689;;337,309;;1,072;1;6121;101;3967062;70569;56215221;Africa;163;9881;14;;;19;
Albania;334726;;3602;;329,428;;1,696;;116777;1257;1941032;677173;2866374;Europe;9;796;1;;;592;
Botswana;330321;;2801;;327,049;;471;1;135313;1147;2026898;830300;2441162;Africa;7;872;1;;;193;
Luxembourg;319959;;1232;;316,690;;2,037;;498091;1918;4587145;7140959;642371;Europe;2;521;0;;;3171;
Brunei ;312524;;225;;243,601;;68,698;3;701622;505;717784;1611437;445431;Asia;1;1980;1;;;154228;
Montenegro;294074;;2832;;290,516;;726;6;468308;4510;2764972;4403172;627950;Europe;2;222;0;;;1156;
Algeria;271945;;6881;;183,061;;82,003;;5997;152;230960;5093;45350148;Africa;167;6591;196;;;1808;
Nigeria;267146;;3155;;259,953;;4,038;11;1233;15;5708974;26339;216746934;Africa;811;68700;38;;;19;
Zimbabwe;265821;;5720;;258,888;;1,213;12;17338;373;2525756;164744;15331428;Africa;58;2680;6;;;79;
Uzbekistan;253662;;1637;;241,486;;10,539;23;7378;48;1377915;40077;34382084;Asia;136;21003;25;;;307;
Mozambique;233654;;2249;;228,805;;2,600;11;7061;68;1371127;41437;33089461;Africa;142;14713;24;;;79;
Martinique;230354;;1102;;N/A;N/A;N/A;12;615777;2946;828928;2215870;374087;North America;2;339;0;;;612553;
Afghanistan;227978;56;7957;1;207,616;+7;12,405;;5594;195;1325428;32522;40754388;Asia;179;5122;31;1;0.02;304;
Laos;218891;;758;;N/A;N/A;N/A;;29260;101;1233207;164845;7481023;Asia;34;9869;6;;;28134;
Iceland;209191;;229;;N/A;N/A;N/A;2;605661;663;1996384;5780036;345393;Europe;2;1508;0;;;385871;
Kyrgyzstan;206897;;2991;;196,406;;7,500;131;30750;445;1907195;283460;6728271;Asia;33;2250;4;;;1115;
Guadeloupe;203235;;1021;;N/A;N/A;N/A;19;508349;2554;938039;2346306;399794;North America;2;392;0;;;500168;
El Salvador;201807;;4230;;179,410;;18,167;8;30808;646;2610114;398467;6550389;North America;32;1549;3;;;2773;
Trinidad and Tobago;191496;;4390;;187,078;;28;8;136143;3121;913289;649295;1406585;North America;7;320;2;;;20;
Maldives;186694;;316;;163,687;;22,691;25;345100;584;2213831;4092223;540985;Asia;3;1712;0;;;41944;
Namibia;172123;;4100;;167,099;;924;;65350;1557;1062663;403460;2633874;Africa;15;642;2;;;351;
Uganda;171871;;3632;;100,431;;67,808;3;3549;75;3012408;62198;48432863;Africa;282;13335;16;;;1400;
Ghana;171780;;1462;;170,318;;0;2;5303;45;2538052;78346;32395450;Africa;189;22158;13;;;;
Jamaica;156469;;3664;;103,191;;49,614;;52417;1227;1183986;396633;2985094;North America;19;815;3;;;16621;
Cambodia;138945;;3056;;135,887;;2;;8093;178;3091420;180062;17168639;Asia;124;5618;6;;;0.1;
Rwanda;133518;;1468;;132,039;;11;;9817;108;6021981;442778;13600464;Africa;102;9265;2;;;0.8;
Cameroon;125205;;1974;;123,224;;7;13;4486;71;1751774;62762;27911548;Africa;223;14140;16;;;0.3;
Malta;120737;21;865;;119,423;+46;449;;271910;1948;2156502;4856626;444033;Europe;4;513;0;47;;1011;
Barbados;110235;;641;;108,647;;947;;382730;2226;810447;2813827;288023;North America;3;449;0;;;3288;
Angola;105976;;1936;;103,419;;621;;3026;55;1499795;42818;35027343;Africa;331;18093;23;;;18;
Channel Islands;101717;;228;;101,321;;168;;576421;1292;1252808;7099551;176463;Europe;2;774;0;;;952;
DRC;99181;;1468;;84,489;;13,224;;1041;15;846704;8890;95240792;Africa;960;64878;112;;;139;
French Guiana;98041;;420;;11,254;;86,367;6;312065;1337;651257;2072951;314169;South America;3;748;0;;;274906;
Senegal;89022;;1971;;87,024;;27;;5043;112;1146543;64946;17653671;Africa;198;8957;15;;;2;
Malawi;88986;;2686;;85,651;;649;67;4409;133;624784;30959;20180839;Africa;227;7513;32;;;32;
Ivory Coast;88338;;835;;87,497;;6;;3184;30;1690934;60951;27742298;Africa;314;33224;16;;;0.2;
Suriname;82588;;1408;;N/A;N/A;N/A;;138378;2359;242207;405822;596831;South America;7;424;2;;;52623;
New Caledonia;80064;;314;;79,605;;145;9;275214;1079;98964;340182;290915;Australia/Oceania;4;926;3;;;498;
French Polynesia;78649;;649;;N/A;N/A;N/A;7;276773;2284;;;284164;Australia/Oceania;4;438;;;;156600;
Eswatini;75094;;1427;;73,116;;551;;63380;1204;1048704;885119;1184817;Africa;16;830;1;;;465;
Guyana;73385;;1299;;72,013;;73;;92419;1636;733218;923396;794045;South America;11;611;1;;;92;
Belize;71060;;688;;70,085;;287;6;172396;1669;576016;1397453;412190;North America;6;599;1;;;696;
Fiji;69117;;885;;67,226;;1,006;;75997;973;672883;739866;909466;Australia/Oceania;13;1028;1;;;1106;
Madagascar;68354;;1425;;66,862;;67;;2343;49;531329;18210;29178077;Africa;427;20476;55;;;2;
Cabo Verde;64470;;416;;63,755;;299;23;113568;733;401622;707482;567678;Africa;9;1365;1;;;527;
Sudan;63993;;5046;;58,947;;0;;1391;110;562941;12240;45992020;Africa;719;9115;82;;;;
Mauritania;63774;;997;;62,471;;306;;13010;203;1009957;206030;4901981;Africa;77;4917;5;;;62;
Bhutan;62697;;21;;61,564;;1,112;;79571;27;2303734;2923739;787941;Asia;13;37521;0;;;1411;
Syria;57743;;3165;;54,578;;0;;2982;163;146269;7553;19364809;Asia;335;6118;132;;;;
Burundi;54366;;38;;53,569;;759;;4306;3;345742;27386;12624840;Africa;232;332233;37;;;60;
Seychelles;50937;;172;;50,750;;15;;512311;1730;;;99426;Africa;2;578;;;;151;
Gabon;48992;;307;;48,674;;11;;21013;132;1621909;695641;2331533;Africa;48;7595;1;;;5;
Andorra;48015;;165;;47,563;;287;14;619844;2130;249838;3225256;77463;Europe;2;469;0;;;3705;
Papua New Guinea;46864;;670;;46,168;;26;7;5043;72;249149;26813;9292169;Australia/Oceania;198;13869;37;;;3;
Curaçao;45986;;295;;44,720;;971;3;277812;1782;496693;3000640;165529;North America;4;561;0;;;5866;
Aruba;44224;;292;;42,438;;1,494;2;410969;2714;177885;1653068;107609;North America;2;369;1;;;13884;
Tanzania;43078;;846;;N/A;N/A;N/A;7;681;13;;;63298550;Africa;1469;74821;;;;664;
Mauritius;43025;;1051;;41,278;;696;;33752;824;358675;281374;1274727;Africa;30;1213;4;;;546;
Mayotte;42027;;188;;N/A;N/A;N/A;;146815;657;176919;618038;286259;Africa;7;1523;2;;;135804;
Togo;39524;;290;;39,216;;18;;4553;33;812881;93641;8680837;Africa;220;29934;11;;;2;
Guinea;38563;;468;;37,757;;338;8;2781;34;660107;47607;13865691;Africa;360;29628;21;;;24;
Bahamas;38084;;844;;36,366;;874;1;95087;2107;257839;643767;400516;North America;11;475;2;;;2182;
Isle of Man;38008;;116;;N/A;N/A;N/A;;443335;1353;150753;1758422;85732;Europe;2;739;1;;;129450;
Lesotho;34790;;723;;25,980;;8,087;;15990;332;431221;198199;2175699;Africa;63;3009;5;;;3717;
Faeroe Islands;34658;;28;;N/A;N/A;N/A;5;703959;569;778000;15802409;49233;Europe;1;1758;0;;;547133;
Haiti;34403;;860;;33,372;;171;;2945;74;132422;11337;11680283;North America;340;13582;88;;;15;
Mali;33159;;743;;32,332;;84;;1544;35;804909;37483;21473764;Africa;648;28901;27;;;4;
Cayman Islands;31472;;37;;8,553;;22,882;1;467797;550;222773;3311280;67277;North America;2;1818;0;;;340116;
Saint Lucia;30149;;410;;29,095;;644;;162868;2215;210983;1139752;185113;North America;6;451;1;;;3479;
Benin;28036;;163;;27,847;;26;;2193;13;604310;47268;12784726;Africa;456;78434;21;;;2;
Somalia;27334;;1361;;13,182;;12,791;;1623;81;400466;23778;16841795;Africa;616;12375;42;;;759;
Micronesia;26547;;65;;N/A;N/A;N/A;1;225953;553;82430;701598;117489;Australia/Oceania;4;1808;1;;;162271;
Congo;25375;;386;;24,006;;983;;4377;67;347815;59991;5797805;Africa;228;15020;17;;;170;
San Marino;24915;;126;;24,760;;29;4;730967;3697;196855;5775414;34085;Europe;1;271;0;;;851;
Solomon Islands;24575;;153;;N/A;N/A;N/A;1;34077;212;;;721159;Australia/Oceania;29;4713;;;;11183;
Timor-Leste;23460;;138;;23,102;;220;;17131;101;278529;203391;1369429;Asia;58;9923;5;;;161;
Burkina Faso;22056;;396;;21,596;;64;;998;18;248995;11265;22102838;Africa;1002;55815;89;;;3;
Liechtenstein;21507;;94;;21,352;;61;;560268;2449;112457;2929559;38387;Europe;2;408;0;;;1589;
Gibraltar;20550;;113;;16,579;;3,858;;609720;3353;534283;15852213;33704;Europe;2;298;0;;;114467;
Macao;19887;;123;;3,487;;16,277;;29794;184;7850;11760;667490;Asia;34;5427;85;;;24385;
Grenada;19693;;238;;19,358;;97;4;173545;2097;182981;1612523;113475;North America;6;477;1;;;855;
Bermuda;18860;;165;;18,685;;10;;304493;2664;1029558;16622128;61939;North America;3;375;0;;;161;
Nicaragua;18491;;225;;4,225;;14,041;;2728;33;;;6779100;North America;367;30129;;;;2071;
South Sudan;18368;;138;;18,115;;115;1;1581;12;410280;35313;11618511;Africa;633;84192;28;;;10;
Tajikistan;17786;;125;;17,264;;397;;1786;13;;;9957464;Asia;560;79660;;;;40;
Equatorial Guinea;17229;;183;;16,907;;139;5;11512;122;365697;244342;1496662;Africa;87;8178;4;;;93;
Monaco;17090;;67;;15,992;;1,031;4;429580;1684;78646;1976875;39783;Europe;2;594;1;;;25916;
Tonga;16846;;13;;15,638;;1,195;;156345;121;535009;4965327;107749;Australia/Oceania;6;8288;0;;;11091;
Samoa;16778;;31;;1,605;;15,142;;82961;153;187397;926612;202239;Australia/Oceania;12;6524;1;;;74872;
Marshall Islands;16138;;17;;16,121;;0;;268711;283;;;60057;Australia/Oceania;4;3533;;;;;
Dominica;15798;;74;;15,673;;51;;218373;1023;229344;3170187;72344;North America;5;978;0;;;705;
Djibouti;15690;;189;;15,427;;74;;15441;186;305941;301094;1016097;Africa;65;5376;3;;;73;
CAR;15368;;113;;15,200;;55;2;3063;23;81294;16205;5016678;Africa;326;44395;62;;;11;
Gambia;12626;;372;;12,189;;65;;4935;145;155686;60851;2558482;Africa;203;6878;16;;;25;
Saint Martin;12324;;63;;1,399;;10,862;7;310194;1586;112382;2828643;39730;North America;3;631;0;;;273395;
Vanuatu;12019;;14;;11,976;;29;;37346;44;24976;77606;321832;Australia/Oceania;27;22988;13;;;90;
Greenland;11971;;21;;2,761;;9,189;4;210117;369;164926;2894810;56973;North America;5;2713;0;;;161287;
Yemen;11945;;2159;;9,124;;662;23;383;69;329592;10579;31154867;Asia;2608;14430;95;;;21;
Caribbean Netherlands;11682;;38;;10,476;;1,168;;438398;1426;30126;1130559;26647;North America;2;701;1;;;43832;
Sint Maarten;11051;;92;;10,905;;54;N/A;251353;2093;62056;1411454;43966;North America;4;478;1;;;1228;
Eritrea;10189;;103;;10,086;;0;;2782;28;23693;6470;3662244;Africa;359;35556;155;;;;
Niger;9931;;312;;8,890;;729;1;381;12;254538;9759;26083660;Africa;2626;83601;102;;;28;
St. Vincent Grenadines;9644;;124;;9,493;;27;;86454;1112;114197;1023720;111551;North America;12;900;1;;;242;
Guinea-Bissau;9614;;177;;8,929;;508;6;4659;86;145231;70385;2063367;Africa;215;11657;14;;;246;
Comoros;9109;;161;;8,939;;9;;10038;177;;;907419;Africa;100;5636;;;;10;
Antigua and Barbuda;9106;;146;;8,954;;6;1;91509;1467;18901;189943;99509;North America;11;682;5;;;60;
Liberia;8090;;295;;7,783;;12;2;1525;56;139824;26356;5305117;Africa;656;17983;38;;;2;
Sierra Leone;7766;;126;;N/A;N/A;N/A;;935;15;259958;31296;8306436;Africa;1070;65924;32;;;330;
Chad;7701;;194;;4,874;;2,633;;442;11;191341;10988;17413580;Africa;2261;89761;91;;;151;
British Virgin Islands;7305;;64;;N/A;N/A;N/A;;238757;2092;107339;3508269;30596;North America;4;478;0;;;392;
Cook Islands;7168;;2;;7,150;;16;;407945;114;19690;1120596;17571;Australia/Oceania;2;8786;1;;;911;
Turks and Caicos;6656;;39;;6,602;;15;4;167484;981;615226;15480889;39741;North America;6;1019;0;;;377;
Saint Kitts and Nevis;6607;;48;;6,559;;0;;122645;891;126958;2356704;53871;North America;8;1122;0;;;;
Sao Tome and Principe;6601;;80;;6,521;;0;;28993;351;29036;127530;227679;Africa;34;2846;8;;;;
Palau;6248;;9;;6,238;;1;;342675;494;70874;3887128;18233;Australia/Oceania;3;2026;0;;;55;
St. Barth;5507;;6;;N/A;N/A;N/A;;553746;603;78646;7908095;9945;North America;2;1658;0;;;506687;
Nauru;5393;;1;;5,347;;45;;494635;92;20509;1881042;10903;Australia/Oceania;2;10903;1;;;4127;
Kiribati;5085;;24;;2,703;;2,358;3;41201;194;;;123419;Australia/Oceania;24;5142;;;;19106;
Anguilla;3904;;12;;3,879;;13;4;256336;788;51382;3373736;15230;North America;4;1269;0;;;854;
Wallis and Futuna;3550;;8;;438;;3,104;;323256;728;20508;1867419;10982;Australia/Oceania;3;1373;1;;;282644;
Saint Pierre Miquelon;3452;;2;;2,449;;1,001;1;599410;347;25400;4410488;5759;North America;2;2880;0;;;173815;
Tuvalu;2943;;1;;;;2,942;;243909;83;;;12066;Australia/Oceania;4;12066;;;;243826;
Saint Helena;2166;;;;2;;2,164;;354211;;;;6115;Africa;3;;;;;353884;
Falkland Islands;1930;;;;1,930;;0;;545352;;8632;2439107;3539;South America;2;;0;;;;
Montserrat;1403;;8;;1,376;;19;;282578;1611;17762;3577442;4965;North America;4;621;0;;;3827;
Niue;889;;;;889;+2;0;;548089;;;;1622;Australia/Oceania;2;;;;;;
Diamond Princess;712;;13;;699;;0;;;;;;;;;;;;;;
Tokelau;80;;;;;;80;;58055;;;;1378;Australia/Oceania;17;;;;;58055;
Vatican City;29;;;;29;;0;;36295;;;;799;Europe;28;;;;;;
Western Sahara;10;;1;;9;;0;;16;2;;;626161;Africa;62616;626161;;;;;
MS Zaandam;9;;2;;7;;0;;;;;;;;;;;;;;
China;503302;;5272;;379,053;;118,977;N/A;347;4;160000000;110461;1448471400;Asia;2878;274748;9;;;82;
